pixel	correction
0	1.019573
1	1.018983
2	1.017332
3	1.018627
4	1.005943
5	0.988671
6	0.99476
7	1.010157
8	1.017651
9	1.016569
10	1.010537
11	1.013898
12	0.996068
13	0.976851
14	0.982836
15	1.00099
16	0.987914
17	0.991892
18	0.970298
19	0.962622
20	1.01585
21	1.007126
22	1.015027
23	1.00845
24	0.973502
25	0.941177
26	0.953139
27	0.982375
28	1.007549
29	1.012721
30	0.998138
31	1.004414
32	1.013152
33	1.014744
34	1.009706
35	1.005871
36	0.99592
37	0.995441
38	0.996986
39	0.993687
40	0.999185
41	1.011121
42	1.001342
43	1.009918
44	1.001615
45	1.005986
46	1.001375
47	1.006187
48	0.992676
49	0.999945
50	0.99669
51	1.000863
52	1.002401
53	1.006609
54	1.004173
55	1.006865
56	1.008489
57	1.000249
58	1.003142
59	0.994823
60	1.014655
61	1.012453
62	1.00987
63	1.006002
64	1.001654
65	1.010342
66	1.005065
67	1.011322
68	1.002597
69	1.00452
70	0.99975
71	0.997705
72	1.012106
73	1.012387
74	1.00901
75	1.007748
76	1.007939
77	1.009179
78	1.007978
79	1.006316
80	1.006269
81	1.007796
82	1.008326
83	1.005673
84	1.01215
85	1.008232
86	1.011395
87	1.009083
88	1.002663
89	0.998817
90	1.002026
91	1.004144
92	1.009176
93	1.010286
94	1.006237
95	1.006998
96	1.016466
97	1.015752
98	1.016791
99	1.017912
100	1.015268
101	1.003047
102	1.007566
103	1.013969
104	1.019954
105	1.017325
106	1.019063
107	1.018259
108	1.009634
109	1.009452
110	1.015357
111	1.014538
112	1.009922
113	1.005932
114	1.011335
115	1.006529
116	1.012273
117	1.013339
118	1.007109
119	1.008212
120	1.012815
121	1.013389
122	1.01106
123	1.011464
124	1.015017
125	1.01409
126	1.015705
127	1.014645
128	1.014515
129	1.017086
130	1.015845
131	1.018046
132	1.013718
133	1.009825
134	1.008549
135	1.012386
136	1.015819
137	1.011346
138	1.008299
139	1.013389
140	1.007147
141	1.005825
142	1.008692
143	1.011628
144	1.00125
145	1.002841
146	1.002915
147	1.001641
148	1.006893
149	1.001543
150	1.004709
151	1.003412
152	1.006168
153	1.00409
154	1.002393
155	1.002931
156	1.0077
157	1.0054
158	1.006962
159	1.003337
160	1.018732
161	1.015745
162	1.018473
163	1.020016
164	1.017567
165	1.008781
166	1.010787
167	1.016914
168	1.020675
169	1.020283
170	1.020739
171	1.019931
172	1.011104
173	1.009378
174	1.017531
175	1.016472
176	1.003879
177	0.99769
178	1.007126
179	0.9996
180	1.011016
181	1.014315
182	1.002807
183	1.006353
184	1.008572
185	1.01008
186	1.008309
187	1.007478
188	1.012425
189	1.009872
190	1.016186
191	1.013248
192	1.019622
193	1.016939
194	1.018411
195	1.01346
196	1.016491
197	1.007385
198	1.006462
199	1.01612
200	1.0095
201	1.005751
202	1.016226
203	1.017153
204	1.019695
205	1.014731
206	1.010583
207	1.017795
208	1.024213
209	1.02186
210	1.018519
211	1.021464
212	1.002882
213	1.016639
214	1.001075
215	1.016001
216	1.030109
217	1.026075
218	1.023875
219	1.026913
220	0.999456
221	1.000041
222	1.020321
